Authors,Title,Conference,Date
"Dube, F.S., Kaba, M., Ah Tow, L., Africa, S., Lubbe, S., Zar, H.J. and Nicol, M.P.",Poster: Microbiology of the Nasopharynx in Children Hospitalized with Suspected Pulmonary Tuberculosis.,"16th International Congress on Infectious Diseases, 2-5 April 2014, Cape Town.",2014-04-02
"Essomba, R.F. and Lubbe, S.",Applications of Functional Data Analysis. ,"SASA: Annual South African Statistical Association Conference, 6-8 November 2013, Polokwane.",2013-11-06
"Le Roux, N.J., Lubbe, S. and Gower, J.C.",The Analysis of Distance of Grouped Data with Categorical Variables: Categorical Canonical Variate Analysis Biplots.,"SASA: Annual South African Statistical Association Conference, 6-8 November 2013, Polokwane.",2013-11-06
"Lubbe, S.",Application of Genetic Algorithms to Unidimensional Scaling.,"SASA: Annual South African Statistical Association Conference, 6-8 November 2013, Polokwane.",2013-11-06
"Oyedele, O.V.F. and Lubbe, S.",Poster: Partial Least Squares Biplots for Generalised Linear Models.,"SASA: Annual South African Statistical Association Conference, 6-8 November 2013, Polokwane.",2013-11-06
"Pierre Bernard, T. and Lubbe, S.",South African Household Survey Data: An Unbiased View on Narrowing the Gap Between Racial Groups.,"SASA: Annual South African Statistical Association Conference, 6-8 November 2013, Polokwane.",2013-11-06
" Williams, D. and Lubbe, S.",Common Components to Construct Biplots for Longitudinal Data.,"WSC: 59th ISI World Statistics Congress, 25-30 August 2013, Hong Kong, China.",2013-08-25
Oyedele O.V.F. and Lubbe S.,The Construction of a Partial Least Squares Biplot. ,"WSC: 59th ISI World Statistics Congress, 25-30 August 2013, Hong Kong, China.",2013-08-25
"Timm, A. and Gardner-Lubbe S.",The MDS-GUI: A Graphical User Interface for Comprehensive Multidimensional Scaling Applications.,"WSC: 59th ISI World Statistics Congress, 25-30 August 2013, Hong Kong, China.",2013-08-25
"Oyedele, O.V.F. and Lubbe, S.",PLS biplots: Another graphical tool for multivariate data.,"IFCS: Conference of the International Federation of Classification Societies, 15-17 July 2013, Tilburg, The Netherlands.",2013-07-15
"Le Roux, N.J., Lubbe, S. and Gower, J.C.",Biplots constructed from Distance matrices.,"SASA: Annual South African Statistical Association Conference, 7-9 November 2012, Port Elizabeth.",2012-11-07
"Lubbe, S. and Timm, A.",The MDS-GUI: A graphical user interface for comprehensive multidimensional scaling applications.,"SASA: Annual South African Statistical Association Conference, 7-9 November 2012, Port Elizabeth.",2012-11-07
"Oyedele, O.V.F., Lubbe, S. and le Roux, N.J.",Partial Least Squares Regression Biplots. ,"SASA: Annual South African Statistical Association Conference, 7-9 November 2012, Port Elizabeth.",2012-11-07
"Pierre Bernard, T. and Lubbe, S.",Biplots for Investigating Differential Living Conditions between South African Racial Groups. ,"SASA: Annual South African Statistical Association Conference, 7-9 November 2012, Port Elizabeth.",2012-11-07
"Williams, D. and Lubbe, S.",Common Components to Construct Biplots for Longitudinal Data.,"SASA: Annual South African Statistical Association Conference, 7-9 November 2012, Port Elizabeth.",2012-11-07
"Gower, J.C., le Roux, N.J. and Lubbe, S.",Biplots: The Palette. ,"COMPSTAT 2012, 27-31 August 2012, Limmasol, Cyprus.",2012-08-27
"Le Roux, N.J., Gower, J.C. and Lubbe, S.",Extending the Theory of Nonlinear Biplots: Categorical Canonical Variate Analysis Biplots.,"COMPSTAT 2012, 27-31 August 2012, Limmasol, Cyprus.",2012-08-27
"Lubbe, S., Oyedele, O.V.F. and le Roux, N.J.",Biplots for Partial Least Squares Regression.,"COMPSTAT 2012, 27-31 August 2012, Limmasol, Cyprus.",2012-08-27
"Lubbe, S., le Roux, N.J. and Gower, J.C.",Canonical Analysis of Distance in the Mining Industry. ,"SASA: Annual South African Statistical Association Conference, 1-3 November 2011, Pretoria.",2011-11-01
"Oyedele, O.V.F. and Lubbe, S.",The Covariance Biplot to reveal relationships between different sets of variables.,"SASA: Annual South African Statistical Association Conference, 1-3 November 2011, Pretoria.",2011-11-01
